https://coinmarketcap.com/currencies/bitcoin/historical-data/,,,,,,
Date,Open,High,Low,Close,Volume,Market_Cap
2-Sep-18,"7,189.58","7,306.31","7,132.16","7,272.72","4,329,540,000","123,981,305,470"
1-Sep-18,"7,044.81","7,242.29","7,038.05","7,193.25","4,116,050,000","121,471,295,533"
31-Aug-18,"6,973.97","7,057.17","6,920.16","7,037.58","4,495,650,000","120,236,411,575"
30-Aug-18,"7,043.76","7,072.69","6,834.69","6,978.23","4,463,250,000","121,426,092,460"
29-Aug-18,"7,091.71","7,113.30","6,970.82","7,047.16","4,145,880,000","122,240,446,825"
28-Aug-18,"6,891.08","7,109.56","6,882.34","7,096.28","4,659,940,000","118,768,797,345"
27-Aug-18,"6,710.80","6,884.64","6,689.71","6,884.64","4,019,000,000","115,646,248,487"
26-Aug-18,"6,754.64","6,774.75","6,620.75","6,707.26","3,295,500,000","116,387,236,698"
25-Aug-18,"6,719.95","6,789.63","6,700.96","6,763.19","3,312,600,000","115,778,181,501"
24-Aug-18,"6,551.52","6,719.96","6,498.64","6,719.96","4,097,820,000","112,864,138,781"
23-Aug-18,"6,371.34","6,546.54","6,371.34","6,534.88","3,426,180,000","109,748,424,726"
22-Aug-18,"6,486.25","6,816.79","6,310.11","6,376.71","4,668,110,000","111,714,827,567"
21-Aug-18,"6,301.07","6,500.87","6,298.24","6,488.76","3,377,180,000","108,513,649,180"
20-Aug-18,"6,500.51","6,536.92","6,297.93","6,308.53","3,665,100,000","111,936,076,638"
19-Aug-18,"6,422.57","6,537.98","6,361.55","6,506.07","3,311,170,000","110,582,598,384"
18-Aug-18,"6,583.43","6,617.35","6,353.73","6,423.76","3,984,520,000","113,338,906,417"
17-Aug-18,"6,340.91","6,582.50","6,324.97","6,580.63","4,992,990,000","109,151,601,195"
16-Aug-18,"6,294.23","6,473.50","6,276.41","6,334.73","4,328,420,000","108,335,763,931"
15-Aug-18,"6,221.42","6,588.49","6,221.42","6,308.52","4,895,450,000","107,070,056,730"
14-Aug-18,"6,287.66","6,287.94","5,971.05","6,199.71","5,301,700,000","108,199,097,492"
13-Aug-18,"6,341.36","6,537.05","6,225.72","6,297.57","4,083,980,000","109,111,523,954"
12-Aug-18,"6,283.65","6,409.85","6,237.50","6,322.69","5,665,250,000","108,106,451,582"
11-Aug-18,"6,185.79","6,455.74","6,109.03","6,295.73","4,047,850,000","106,409,456,302"
10-Aug-18,"6,571.42","6,591.26","6,124.52","6,184.71","4,528,680,000","113,028,788,092"
9-Aug-18,"6,305.56","6,625.73","6,249.07","6,568.23","4,267,040,000","108,444,366,975"
8-Aug-18,"6,746.85","6,746.85","6,226.22","6,305.80","5,064,430,000","116,020,470,612"
7-Aug-18,"6,958.32","7,146.56","6,748.24","6,753.12","4,682,800,000","119,643,646,094"
6-Aug-18,"7,062.94","7,166.55","6,890.54","6,951.80","3,925,900,000","121,430,864,537"
5-Aug-18,"7,031.08","7,102.77","6,940.70","7,068.48","3,679,110,000","120,869,247,490"
4-Aug-18,"7,438.67","7,497.49","6,984.07","7,032.85","4,268,390,000","127,859,350,021"
3-Aug-18,"7,562.14","7,562.14","7,328.65","7,434.39","4,627,150,000","129,965,898,111"
2-Aug-18,"7,634.19","7,712.77","7,523.44","7,567.15","4,214,110,000","131,189,721,712"
1-Aug-18,"7,769.04","7,769.04","7,504.95","7,624.91","4,797,620,000","133,492,645,169"
31-Jul-18,"8,181.20","8,181.53","7,696.93","7,780.44","5,287,530,000","140,559,547,538"
30-Jul-18,"8,221.58","8,235.50","7,917.50","8,180.48","5,551,400,000","141,239,444,979"
29-Jul-18,"8,205.82","8,272.26","8,141.18","8,218.46","4,107,190,016","140,951,371,776"
28-Jul-18,"8,169.06","8,222.85","8,110.77","8,192.15","3,988,750,080","140,305,137,664"
27-Jul-18,"7,950.40","8,262.66","7,839.76","8,165.01","5,195,879,936","136,532,811,776"
26-Jul-18,"8,176.85","8,290.33","7,878.71","7,951.58","4,899,089,920","140,404,998,144"
25-Jul-18,"8,379.66","8,416.87","8,086.36","8,181.39","5,845,400,064","143,869,018,112"
24-Jul-18,"7,716.51","8,424.27","7,705.50","8,424.27","7,277,689,856","132,468,064,256"
23-Jul-18,"7,414.71","7,771.50","7,409.10","7,711.11","5,132,480,000","127,271,731,200"
22-Jul-18,"7,417.80","7,537.95","7,383.82","7,418.49","3,695,460,096","127,307,890,688"
21-Jul-18,"7,352.72","7,437.64","7,262.41","7,419.29","3,726,609,920","126,178,377,728"
