https://www.kaggle.com/ulascengiz/price-history-of-1654-cryptocurrencies,,,,,,,
,close,date,high,low,market_cap,open,volume
0,601.08,8-Jun-18,608.81,595.59,"60,504,500,000",605.44,"1,637,780,000"
1,605.19,7-Jun-18,616.14,601.69,"60,716,100,000",607.69,"1,880,140,000"
2,607.12,6-Jun-18,611.64,596.4,"60,960,700,000",610.26,"1,756,530,000"
3,609.3,5-Jun-18,611.33,580.98,"59,264,900,000",593.41,"1,844,270,000"
4,592.99,4-Jun-18,623.43,583.75,"61,851,800,000",619.44,"1,903,430,000"
5,618.33,3-Jun-18,624.51,591.26,"59,026,100,000",591.26,"1,832,550,000"
6,591.81,2-Jun-18,597.08,577.32,"57,932,900,000",580.43,"1,880,390,000"
7,580.04,1-Jun-18,589.09,567.66,"57,745,700,000",578.67,"1,945,890,000"
8,577.64,31-May-18,585.54,557.07,"55,720,800,000",558.5,"1,985,040,000"
9,559.59,30-May-18,583.14,545.43,"56,540,500,000",566.83,"2,053,970,000"
10,565.39,29-May-18,572.26,516.15,"51,474,400,000",516.15,"2,330,820,000"
11,516.04,28-May-18,576.05,512.55,"57,136,700,000",573.04,"2,356,900,000"
12,572.67,27-May-18,590.33,562.87,"58,667,600,000",588.52,"1,788,790,000"
13,587.28,26-May-18,606.17,583.51,"58,546,400,000",587.43,"1,694,300,000"
14,586.73,25-May-18,617.19,575.62,"60,000,400,000",602.14,"2,110,920,000"
15,601.75,24-May-18,610.82,557.21,"58,234,400,000",584.54,"2,791,100,000"
16,583.59,23-May-18,651.64,572.95,"64,411,000,000",646.67,"2,995,430,000"
17,647.74,22-May-18,700.98,644.03,"69,726,300,000",700.18,"2,230,470,000"
18,699.22,21-May-18,719.28,692.49,"71,405,800,000",717.19,"2,005,170,000"
19,715.37,20-May-18,723.75,692.67,"69,472,800,000",697.92,"2,156,910,000"
20,696.53,19-May-18,715.58,686.79,"69,174,600,000",695.07,"2,021,550,000"
21,694.37,18-May-18,695.03,663.81,"66,874,700,000",672.1,"2,305,740,000"
22,672.66,17-May-18,718.83,668.83,"70,503,400,000",708.72,"2,350,620,000"
23,707.05,16-May-18,710.2,682.54,"70,426,200,000",708.09,"2,476,130,000"
24,708.87,15-May-18,739.05,701,"72,704,300,000",731.14,"2,523,070,000"
25,730.55,14-May-18,742.17,695.79,"72,847,500,000",732.73,"3,005,110,000"
26,733.5,13-May-18,741.31,675.32,"68,304,000,000",687.17,"2,362,500,000"
27,686.05,12-May-18,691.41,644.07,"67,564,600,000",679.88,"2,668,480,000"
28,679.59,11-May-18,736.98,669.83,"72,233,800,000",727.01,"3,290,080,000"
29,727.28,10-May-18,766.75,726.66,"74,758,700,000",752.58,"2,748,950,000"
30,752.27,9-May-18,759.53,718.47,"74,775,300,000",752.9,"2,877,870,000"
