Date,Open,High,Low,Close,Adj Close,Volume
42983,6414.82,6426.51,6334.59,6375.57,6375.57,1886950000
42984,6394.35,6407.4,6356.2,6393.31,6393.31,1906030000
42985,6402.94,6413.07,6379.81,6397.87,6397.87,1998380000
42986,6389.65,6391.41,6354.96,6360.19,6360.19,1785560000
42989,6411.18,6439.11,6410.71,6432.26,6432.26,1819300000
42990,6448.81,6455.03,6429.54,6454.28,6454.28,1745090000
42991,6440.72,6460.42,6433.2,6460.19,6460.19,1942090000
42992,6439.46,6455.32,6424.04,6429.08,6429.08,1809170000
42993,6426.16,6464.27,6419.65,6448.47,6448.47,2821110000
42996,6460.1,6477.77,6438.41,6454.64,6454.64,1874440000
42997,6465.57,6467.79,6446.75,6461.32,6461.32,1809710000
42998,6459.74,6466.05,6414.23,6456.04,6456.04,2052520000
42999,6448.57,6448.57,6405.3,6422.69,6422.69,1772790000
43000,6401.44,6429.54,6400.81,6426.92,6426.92,1639100000
43003,6403.11,6408.05,6343.96,6370.59,6370.59,2050410000
43004,6391.85,6405,6364.57,6380.16,6380.16,1926420000
43005,6414.37,6472.65,6405.36,6453.26,6453.26,2053720000
43006,6437.96,6456.23,6427.66,6453.45,6453.45,1828570000
43007,6461.28,6497.98,6454.86,6495.96,6495.96,1967720000
43010,6506.08,6527.22,6484.14,6516.72,6516.72,1977030000
43011,6523.74,6532.18,6509.71,6531.71,6531.71,1969320000
43012,6521.96,6546.46,6513.12,6534.63,6534.63,1938440000
43013,6552.87,6587.21,6547.65,6585.36,6585.36,1875670000
43014,6566.95,6590.18,6566.84,6590.18,6590.18,1742470000
43017,6597.37,6599.34,6572.44,6579.73,6579.73,1490620000
43018,6602.49,6608.3,6561.78,6587.25,6587.25,1799400000
43019,6586.73,6604.21,6577.99,6603.55,6603.55,1830360000
43020,6594.76,6613.5,6586.32,6591.51,6591.51,2000470000
43021,6613.21,6616.58,6602.2,6605.8,6605.8,1756150000
43024,6622.55,6632.5,6607.03,6624,6624,1629480000
43025,6621.42,6628.6,6613.21,6623.66,6623.66,1647240000
43026,6634.26,6635.52,6613.55,6624.22,6624.22,1734030000
43027,6583.7,6605.29,6558.53,6605.07,6605.07,1823860000
43028,6633.37,6640.03,6622.92,6629.05,6629.05,1794810000
43031,6641.57,6641.57,6581.15,6586.83,6586.83,1809320000
43032,6598.61,6611.9,6582.06,6598.43,6598.43,1842640000
43033,6587.22,6600.64,6517.93,6563.89,6563.89,2190720000
43034,6567.59,6582.76,6550.03,6556.77,6556.77,2108210000
43035,6635.03,6708.13,6625.78,6701.26,6701.26,2403600000
43038,6693.77,6727.39,6677.15,6698.96,6698.96,2013640000
43039,6713.71,6737.75,6705.79,6727.67,6727.67,2043890000
43040,6758.64,6759.66,6691.48,6716.53,6716.53,2056860000
43041,6709.39,6719.97,6677.55,6714.94,6714.94,2262940000
43042,6737.09,6765.14,6712.93,6764.44,6764.44,2195010000
43045,6763.3,6790.67,6763.17,6786.44,6786.44,2166470000
43046,6785.44,6795.52,6750.35,6767.78,6767.78,2205270000
43047,6764.85,6791.65,6753.34,6789.12,6789.12,2110990000
43048,6737.45,6758.93,6687.28,6750.05,6750.05,2235180000
43049,6736.39,6757.34,6727.35,6750.94,6750.94,1973970000
43052,6727.39,6766.3,6723.43,6757.6,6757.6,1973790000
43053,6733.87,6743.63,6709.27,6737.87,6737.87,1983830000
43054,6700.68,6725.32,6667.31,6706.21,6706.21,1908660000
43055,6742.34,6806.67,6742.34,6793.29,6793.29,2002920000
43056,6794.45,6797.75,6777.43,6782.79,6782.79,1988090000
43059,6789.28,6795.83,6779.49,6790.71,6790.71,1800880000
43060,6820.55,6862.66,6820.02,6862.48,6862.48,1883550000
43061,6869.53,6874.52,6859.28,6867.36,6867.36,1588200000
43063,6878.11,6890.02,6873.74,6889.16,6889.16,848520000
43066,6889.91,6897.43,6867.89,6878.52,6878.52,1773400000
43067,6893.72,6914.19,6866.21,6912.36,6912.36,2000410000
43068,6907.28,6908.33,6793.95,6824.39,6824.39,2452860000
43069,6852.8,6888.65,6838.48,6873.97,6873.97,2458580000
43070,6844.04,6872.17,6737.16,6847.59,6847.59,2293570000
43073,6897.13,6899.23,6770.69,6775.37,6775.37,2426570000
43074,6759.14,6836.45,6752.32,6762.21,6762.21,2083540000
43075,6742.07,6787.42,6734.13,6776.38,6776.38,1891850000
43076,6785.74,6829.29,6778.2,6812.84,6812.84,1934120000
43077,6859.95,6870.48,6831.61,6840.08,6840.08,1806040000
43080,6847.64,6879.8,6844.88,6875.08,6875.08,1818970000
43081,6872.71,6884.8,6856.3,6862.32,6862.32,1861560000
43082,6880.41,6897.62,6871.87,6875.8,6875.8,1919560000
43083,6887.38,6901.13,6851.63,6856.53,6856.53,1985200000
43084,6871.55,6945.82,6871.45,6936.58,6936.58,3510420000
43087,6980.4,7003.89,6975.54,6994.76,6994.76,2144360000
43088,6991.25,6995.88,6951.49,6963.85,6963.85,2071060000
43089,6991.25,6991.25,6935.42,6960.96,6960.96,1874550000
43090,6972.88,6992.63,6961.21,6965.36,6965.36,1815620000
43091,6958.02,6962.26,6944.45,6959.96,6959.96,1539250000
43095,6928.92,6942.14,6915.56,6936.25,6936.25,1304340000
43096,6941.45,6955.38,6931.34,6939.34,6939.34,1409540000
43097,6953.38,6954.8,6936.75,6950.16,6950.16,1311320000
43098,6952.61,6954.98,6903.39,6903.39,6903.39,1571730000
43102,6937.65,7006.91,6924.08,7006.9,7006.9,1914930000
43103,7017.07,7069.15,7016.7,7065.53,7065.53,2166780000
43104,7089.5,7098.05,7072.38,7077.91,7077.91,2098890000
43105,7105.74,7137.04,7097.08,7136.56,7136.56,2020900000
43108,7135.38,7161.35,7124.09,7157.39,7157.39,2051430000
43109,7174.19,7181.14,7148.3,7163.58,7163.58,
43110,7129.83,7154.24,7111.52,7153.57,7153.57,2122740000
43111,7168.73,7211.78,7163.23,7211.78,7211.78,2009740000
43112,7208.17,7265.26,7205.18,7261.06,7261.06,1976200000
43116,7307.19,7330.33,7205.93,7223.69,7223.69,2377140000
43117,7257.77,7309.36,7229.32,7298.28,7298.28,2238070000
43118,7293.65,7313.89,7276.11,7296.05,7296.05,2026220000
43119,7312,7336.38,7297.28,7336.38,7336.38,1997270000
43122,7338.04,7408.03,7332.81,7408.03,7408.03,2106070000
43123,7424.95,7465.39,7423.18,7460.29,7460.29,2119840000
43124,7474.16,7486.32,7376.75,7415.06,7415.06,2277010000
43125,7457.95,7458.53,7388.58,7411.16,7411.16,2061450000
43126,7448.33,7505.77,7431.22,7505.77,7505.77,2059010000
43129,7484.47,7500.61,7455.55,7466.51,7466.51,2103380000
43130,7388.89,7433.65,7373.99,7402.48,7402.48,2163980000
43131,7443.25,7453.99,7381.12,7411.48,7411.48,2407540000
43132,7377.17,7441.09,7362.28,7385.86,7385.86,2291680000
43133,7347.59,7364.43,7238.18,7240.95,7240.95,2587770000
43136,7165.96,7277.36,6967.53,6967.53,6967.53,3106870000
43137,6837.56,7126.55,6824.82,7115.88,7115.88,3131030000
43138,7086.2,7170.34,7051.53,7051.98,7051.98,2366970000
43139,7067.3,7073.99,6776.77,6777.16,6777.16,2707700000
43140,6863.34,6917.01,6630.67,6874.49,6874.49,3155990000
43143,6936.68,7023.62,6879.69,6981.96,6981.96,2240420000
43144,6942.16,7025.68,6938.16,7013.51,7013.51,1816670000
43145,6979.24,7152.05,6977.07,7143.62,7143.62,2211460000
43146,7200.75,7256.93,7130.39,7256.43,7256.43,2110700000
43147,7236.51,7303.26,7226.38,7239.47,7239.47,2019830000
43151,7209.03,7295.95,7206,7234.31,7234.31,1911170000
43152,7258.48,7338.64,7218.11,7218.23,7218.23,1946010000
43153,7252.46,7280.93,7194.84,7210.09,7210.09,1911900000
43154,7261.35,7337.83,7232.5,7337.39,7337.39,1879460000
43157,7373.3,7421.85,7360.25,7421.46,7421.46,1866610000
43158,7416.17,7438.09,7330.35,7330.35,7330.35,2155850000
43159,7371.41,7386.8,7273.01,7273.01,7273.01,2373880000
43160,7274.75,7307.85,7117.66,7180.56,7180.56,2489040000
43161,7099.54,7267.19,7084.83,7257.87,7257.87,2287320000
43164,7222.89,7350.07,7205.31,7330.71,7330.71,2066350000
43165,7366.61,7378.03,7319.68,7372.01,7372.01,2112570000
43166,7311.74,7403.79,7311.74,7396.65,7396.65,2192230000
43167,7422.77,7435.01,7391.5,7427.95,7427.95,2272110000
43168,7475.98,7560.81,7469.03,7560.81,7560.81,2302930000
43171,7581.04,7609.1,7563.44,7588.32,7588.32,2294440000
43172,7627.52,7637.27,7492.98,7511.01,7511.01,2448830000
43173,7539.78,7544.89,7473.9,7496.81,7496.81,2104450000
